repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
30-seconds/30-seconds-of-code,javascript,0,0,,,https://github.com/30-seconds/30-seconds-of-code.git,0,0,0,2017-11-29T05:35:03,"[""awesome-list"", ""css"", ""education"", ""es6-javascript"", ""git"", ""html"", ""javascript"", ""learn-to-code"", ""learning-resources"", ""nodejs"", ""programming"", ""python"", ""reactjs"", ""snippets"", ""snippets-collection""]"
bfirsh/jsnes,javascript,16,7,4c4af69fe7203960bab07370b92864b30791d5f9,86a911aa62c14becf8e560137fbeb3dc554f5fdc,https://github.com/bfirsh/jsnes.git,59,48,11,2009-06-30T06:24:29,"[""6502"", ""emulation"", ""emulator"", ""javascript"", ""nes""]"
basnijholt/home-assistant-config,javascript,0,0,,,https://github.com/basnijholt/home-assistant-config.git,0,0,0,2019-11-12T07:30:43,"[""appdaemon"", ""automation"", ""config"", ""home-assistant"", ""home-assistant-config"", ""home-automation"", ""internet-of-things"", ""iot"", ""lovelace"", ""lovelace-ui"", ""philips-hue"", ""yaml""]"
bpmn-io/diagram-js,javascript,0,0,,,https://github.com/bpmn-io/diagram-js.git,5,1,4,2014-01-23T02:31:50,"[""diagram-editor"", ""diagram-js"", ""hacktoberfest"", ""javascript"", ""svg""]"
brasilapi/brasilapi,javascript,0,0,,,https://github.com/brasilapi/brasilapi.git,1,1,0,2020-01-30T04:48:16,[]
bpmn-io/form-js,javascript,0,0,,,https://github.com/bpmn-io/form-js.git,4,3,1,2021-02-23T12:44:05,"[""bpmn-io"", ""form"", ""form-js"", ""forms"", ""hacktoberfest""]"
azgaar/fantasy-map-generator,javascript,0,0,,,https://github.com/azgaar/fantasy-map-generator.git,9,5,4,2017-03-16T08:59:50,"[""cartography"", ""dungeons-and-dragons"", ""fantasy-maps"", ""generator"", ""javascript"", ""map-generation"", ""mapmaker"", ""procedural-generation""]"
bytedance/xgplayer,javascript,2,2,1bb3ad6a898a1133e2cbf65dcdafa3d7fb7656b8,d920ff35eb1d5863db4ada1b8e72ba40fad9c071,https://github.com/bytedance/xgplayer.git,9,1,8,2018-05-16T12:01:55,"[""dash"", ""flv"", ""flv-parser"", ""fmp4"", ""hls"", ""hls-player"", ""html5-video"", ""html5-video-player"", ""mp4"", ""mp4box"", ""player"", ""video"", ""video-player"", ""videoplayer""]"
char0n/ramda-adjunct,javascript,0,0,,,https://github.com/char0n/ramda-adjunct.git,0,0,0,2017-02-07T11:01:37,"[""addons"", ""adjunct"", ""cookbook"", ""extensions"", ""extras"", ""functional-programming"", ""hacktoberfest"", ""ramda"", ""recipes"", ""toolkit"", ""utilities"", ""utils""]"
chartbrew/chartbrew,javascript,0,0,,,https://github.com/chartbrew/chartbrew.git,0,0,0,2019-08-29T01:14:17,"[""analytics"", ""api"", ""chartjs"", ""charts"", ""dashboard"", ""data-visualization"", ""firebase"", ""firebase-firestore"", ""firestore"", ""mongo"", ""mongodb"", ""mysql"", ""nodejs"", ""postgresql"", ""react"", ""reactjs"", ""realtime-database"", ""redux""]"
chinchang/web-maker,javascript,0,0,,,https://github.com/chinchang/web-maker.git,0,0,0,2016-05-02T11:42:54,"[""chrome-extension"", ""chrome-tabs"", ""code-editor"", ""offline"", ""playground"", ""web""]"
automattic/mongoose,javascript,0,0,,,https://github.com/automattic/mongoose.git,24,20,4,2010-04-06T09:39:05,"[""mongo"", ""mongodb"", ""nodejs"", ""odm"", ""orm""]"
camunda/camunda-modeler,javascript,0,0,,,https://github.com/camunda/camunda-modeler.git,11,6,5,2015-09-18T09:38:04,"[""bpmn"", ""camunda"", ""desktop-application"", ""diagram-editor"", ""dmn"", ""hacktoberfest"", ""modeling-tool"", ""workflow""]"
circleci/circleci-docs,javascript,0,0,,,https://github.com/circleci/circleci-docs.git,14,0,14,2015-12-29T02:14:27,"[""antora"", ""asciidoc"", ""circleci"", ""docs"", ""docsthursday"", ""documentation"", ""hacktoberfest""]"
cncjs/cncjs,javascript,0,0,,,https://github.com/cncjs/cncjs.git,4,2,2,2015-08-21T09:39:18,"[""cnc"", ""cnc-milling-controller"", ""cncjs"", ""g2core"", ""gcode"", ""grbl"", ""linux"", ""marlin"", ""pendant"", ""raspberry-pi"", ""serial"", ""smoothie"", ""smoothieware"", ""tinyg""]"
apexcharts/apexcharts.js,javascript,0,0,,,https://github.com/apexcharts/apexcharts.js.git,0,0,0,2018-07-24T03:22:23,"[""charts"", ""data-visualization"", ""graphs"", ""interactive"", ""javascript"", ""svg"", ""visualization""]"
clientio/joint,javascript,8,1,4ee90417ebc81490d736c6da97c2606b57c98d7b,4ee90417ebc81490d736c6da97c2606b57c98d7b,https://github.com/clientio/joint.git,13,0,13,2009-09-11T11:17:53,"[""charts"", ""diagramming"", ""html5"", ""interactive-diagrams"", ""javascript"", ""javascript-library"", ""low-code"", ""no-code"", ""svg"", ""typescript"", ""typescript-library"", ""visual-applications"", ""visualization""]"
crossbario/autobahn-js,javascript,0,0,,,https://github.com/crossbario/autobahn-js.git,0,0,0,2012-03-09T01:13:13,"[""autobahn"", ""html5"", ""javascript"", ""nodejs"", ""pubsub"", ""real-time"", ""rpc"", ""wamp"", ""websocket""]"
ctrlplusb/easy-peasy,javascript,1,1,08add2db65e00bc9262abbb1920383a61e512949,08add2db65e00bc9262abbb1920383a61e512949,https://github.com/ctrlplusb/easy-peasy.git,8,4,4,2018-10-21T08:52:18,"[""hooks"", ""immer"", ""immutable"", ""react"", ""react-hooks"", ""redux"", ""state-management""]"
creativelifeform/three-nebula,javascript,0,0,,,https://github.com/creativelifeform/three-nebula.git,0,0,0,2018-11-16T11:27:56,[]
cloudera/hue,javascript,0,0,,,https://github.com/cloudera/hue.git,0,0,0,2010-06-21T07:46:51,"[""autocomplete"", ""compose"", ""data-warehouse"", ""databases"", ""query-editor"", ""sql"", ""sql-assistant"", ""sql-editor""]"
codeceptjs/codeceptjs,javascript,16,9,75bf99ec57017331421c3331fdbe9490196fe086,45ad5b09e44def5dcbe02611ec88e73228156f10,https://github.com/codeceptjs/codeceptjs.git,60,24,36,2015-11-22T01:14:36,"[""acceptance-testing"", ""bdd"", ""bdd-framework"", ""codeceptjs"", ""e2e-tests"", ""end-to-end-testing"", ""graphql-testing"", ""hacktoberfest"", ""javascript"", ""nodejs"", ""pageobject"", ""playwright"", ""selenium"", ""selenium-webdriver"", ""testing"", ""webdriver"", ""webdriverio""]"
dash-industry-forum/dash.js,javascript,0,0,,,https://github.com/dash-industry-forum/dash.js.git,6,4,2,2012-11-09T10:28:37,"[""abr"", ""adaptive-bitrate-streaming"", ""cmaf"", ""dash"", ""drm"", ""eme"", ""encrypted-media-extensions"", ""javascript"", ""media-source-extensions"", ""mss"", ""smooth-streaming"", ""video""]"
damian-pastorini/reldens,javascript,0,0,,,https://github.com/damian-pastorini/reldens.git,0,0,0,2018-09-19T09:55:17,"[""colyseus"", ""discord"", ""game"", ""game-dev"", ""game-development"", ""gamedev"", ""html5-game"", ""mmo"", ""mmo-engine"", ""mmorpg"", ""mmorpg-client"", ""mmorpg-game"", ""mmorpg-server"", ""multiplayer"", ""multiplayer-game"", ""multiple-colyseus-rooms"", ""news"", ""phaser"", ""phaser-game"", ""phaser3""]"
davidwells/analytics,javascript,0,0,,,https://github.com/davidwells/analytics.git,0,0,0,2018-10-24T01:29:28,"[""analytics"", ""analytics-utils"", ""gdpr-compliant"", ""metrics"", ""telemetry"", ""wired""]"
cytoscape/cytoscape.js,javascript,0,0,,,https://github.com/cytoscape/cytoscape.js.git,0,0,0,2011-08-23T03:28:32,"[""analysis"", ""cytoscapejs"", ""graph-theory"", ""javascript"", ""network"", ""visualisation"", ""visualization""]"
davidwells/markdown-magic,javascript,0,0,,,https://github.com/davidwells/markdown-magic.git,14,4,10,2016-11-30T05:40:10,"[""docs"", ""docs-generator"", ""dx"", ""markdown"", ""readme"", ""wired""]"
cboard-org/cboard,javascript,5,2,348cc044060cef22a29f571025a44df6c3c93a1c,a8864adf5f3cf75418355abe67d9413f47f9616c,https://github.com/cboard-org/cboard.git,20,14,6,2017-02-10T03:00:45,"[""aac"", ""accessibility"", ""assistive-technology"", ""autism"", ""cerebral-palsy"", ""communication"", ""communication-board"", ""disabilities"", ""javascript"", ""progressive-web-app"", ""react"", ""speech"", ""symbols"", ""text-to-speech"", ""tts""]"
dequelabs/axe-core,javascript,0,0,,,https://github.com/dequelabs/axe-core.git,5,5,0,2015-06-10T03:26:45,"[""a11y"", ""accessibility"", ""axe""]"
datadog/dd-trace-js,javascript,66,14,48c7ce42be8b84827ad1c712a0ce7e0401843b36,672234f2d037851a07e788e41ba8749934f27006,https://github.com/datadog/dd-trace-js.git,97,64,33,2018-01-17T06:40:03,"[""apm"", ""datadog"", ""javascript"", ""nodejs"", ""opentracing"", ""tracing""]"
dcloudio/casecode,javascript,0,0,,,https://github.com/dcloudio/casecode.git,0,0,0,2015-05-20T12:44:42,[]
countly/countly-server,javascript,19,12,93dc057b3db24ed8a85c4ae1c8647fe56d575db3,6172b93388f1bae22b3669f749e5044a2831e708,https://github.com/countly/countly-server.git,70,26,44,2012-05-28T06:48:40,"[""ai"", ""analytics"", ""coppa"", ""crash-analytics"", ""customer-engagement"", ""dashboard"", ""data-ownership"", ""data-privacy"", ""digital-analytics"", ""feature-flags"", ""gdpr"", ""hipaa"", ""insights"", ""mobile-analytics"", ""push-notifications"", ""remote-configuration"", ""tracking"", ""user-feedback"", ""user-journeys"", ""web-analytics""]"
draggable/formeo,javascript,0,0,,,https://github.com/draggable/formeo.git,1,1,0,2015-12-05T06:32:27,[]
docmirror/dev-sidecar,javascript,0,0,,,https://github.com/docmirror/dev-sidecar.git,0,0,0,2020-09-29T10:38:20,"[""dev-sidecar"", ""dns-ip"", ""electron"", ""fastgit"", ""fastgithub"", ""gfw"", ""internet"", ""mitmproxy"", ""pnpm"", ""proxy""]"
doramart/doracms,javascript,0,0,,,https://github.com/doramart/doracms.git,0,0,0,2015-10-19T12:23:38,"[""cms"", ""doracms"", ""eggjs"", ""element-ui"", ""mit-license"", ""mongodb"", ""nodejs"", ""nodejscms"", ""pnpm"", ""qiankun"", ""typescript"", ""vue"", ""vuejs""]"
dyatko/arkit,javascript,0,0,,,https://github.com/dyatko/arkit.git,16,8,8,2019-01-29T05:02:57,"[""architecture"", ""cli"", ""codebase"", ""component"", ""diagram"", ""flow"", ""generate"", ""javascript"", ""js"", ""plantuml"", ""ts"", ""typescript"", ""uml"", ""visualisation""]"
dynamoose/dynamoose,javascript,0,0,,,https://github.com/dynamoose/dynamoose.git,0,0,0,2014-02-18T08:24:54,"[""amazon-dynamodb"", ""dynamodb"", ""dynamoose"", ""javascript"", ""nodejs""]"
dherault/serverless-offline,javascript,2,1,daf166cb010ad672676f613e227c07d949cf7ae1,daf166cb010ad672676f613e227c07d949cf7ae1,https://github.com/dherault/serverless-offline.git,4,2,2,2016-02-17T08:01:47,"[""aws-apigateway"", ""aws-lambda"", ""serverless""]"
eslint/eslint,javascript,0,0,,,https://github.com/eslint/eslint.git,4,2,2,2013-06-29T11:59:48,"[""ecmascript"", ""eslint"", ""javascript"", ""linter"", ""static-code-analysis""]"
eva-engine/eva.js,javascript,3,1,d61af5bc644eead1d5352eec2eb0e756941882a3,d61af5bc644eead1d5352eec2eb0e756941882a3,https://github.com/eva-engine/eva.js.git,3,0,3,2021-03-08T09:13:42,"[""canvas2d"", ""evajs"", ""famework"", ""front-end"", ""game-engine"", ""pixijs"", ""webgl""]"
ever-co/ever-traduora,javascript,0,0,,,https://github.com/ever-co/ever-traduora.git,0,0,0,2019-03-05T07:46:09,"[""angular"", ""api"", ""i18n"", ""internationalization"", ""localization"", ""nodejs"", ""opensource"", ""self-hosted"", ""teams"", ""translation"", ""translation-management"", ""typescript"", ""webapp""]"
facebook/metro,javascript,0,0,,,https://github.com/facebook/metro.git,0,0,0,2016-12-14T11:02:54,"[""bundler"", ""javascript"", ""react-native""]"
didi/mpx,javascript,0,0,,,https://github.com/didi/mpx.git,0,0,0,2018-12-06T01:50:11,"[""alipay-mini-program"", ""development-framework"", ""miniprogram"", ""mpx"", ""reactive-programming"", ""vue"", ""webapp"", ""webpack"", ""wechat-mini-program""]"
formio/formio,javascript,0,0,,,https://github.com/formio/formio.git,0,0,0,2015-10-10T08:41:03,"[""angular"", ""angularjs"", ""forms"", ""nodejs"", ""react"", ""serverless"", ""vanilla-js"", ""vanillajs"", ""vue""]"
facebook/hermes,javascript,0,0,,,https://github.com/facebook/hermes.git,9,3,6,2018-10-22T07:13:00,[]
facebook/react,javascript,3,2,862e275a1c150edcefab6d8ba3306192ffd6edfa,9ceb1e7d9e20bd0302cf6ab31b038c5ec673178d,https://github.com/facebook/react.git,9,2,7,2013-05-24T04:15:54,"[""declarative"", ""frontend"", ""javascript"", ""library"", ""react"", ""ui""]"
datopian/recline,javascript,0,0,,,https://github.com/datopian/recline.git,0,0,0,2011-10-14T09:44:30,[]
foundry376/mailspring,javascript,8,2,fcce8ac527a8d68e814884165dec70134fa63285,9eea595a1598b621648a0e34c01b00e807ae48af,https://github.com/foundry376/mailspring.git,13,5,8,2016-10-13T06:45:50,"[""electron"", ""electron-app"", ""email"", ""imap"", ""linux"", ""mail"", ""osx"", ""windows""]"
glowing-bear/glowing-bear,javascript,0,0,,,https://github.com/glowing-bear/glowing-bear.git,0,0,0,2013-02-18T12:11:49,"[""irc"", ""websocket"", ""weechat""]"
glin/reactable,javascript,0,0,,,https://github.com/glin/reactable.git,0,0,0,2019-03-31T10:22:16,"[""htmlwidgets"", ""r"", ""react"", ""shiny"", ""table""]"
freegroup/draw2d,javascript,0,0,,,https://github.com/freegroup/draw2d.git,0,0,0,2018-06-29T01:36:45,[]
endojs/endo,javascript,0,0,,,https://github.com/endojs/endo.git,36,25,11,2019-11-06T08:09:57,"[""capabilities"", ""captp"", ""hardened"", ""javascript"", ""multi-tenant"", ""ocaps"", ""powerbox"", ""prototype-pollution"", ""sandbox"", ""security"", ""supply-chain""]"
gokrazy/gokrazy,javascript,0,0,,,https://github.com/gokrazy/gokrazy.git,0,0,0,2017-02-04T09:48:07,"[""golang"", ""linux"", ""raspberry-pi"", ""raspberrypi""]"
hackjutsu/lepton,javascript,0,0,,,https://github.com/hackjutsu/lepton.git,0,0,0,2016-12-30T10:29:25,"[""desktop-client"", ""electron"", ""electron-app"", ""electron-application"", ""electron-builder"", ""gists"", ""github-gist"", ""markdown-editor"", ""notes"", ""react"", ""redux"", ""snippets"", ""webpack3""]"
haraka/haraka,javascript,8,1,5156a69e6826e63f2ad622b238c8c58fd848b762,5156a69e6826e63f2ad622b238c8c58fd848b762,https://github.com/haraka/haraka.git,1,0,1,2011-03-10T05:00:20,"[""dkim"", ""haraka"", ""javascript"", ""mta"", ""nodejs"", ""smtp"", ""spf""]"
fonoster/fonos,javascript,1,1,7d9e9e2c0df289973f43b897d9b7ae680b03b50a,7d9e9e2c0df289973f43b897d9b7ae680b03b50a,https://github.com/fonoster/fonos.git,5,2,3,2018-02-04T02:58:54,[]
datopian/portal.js,javascript,5,3,cda774b99296e7e09b4523b2462de0242922cb94,97f522ba28db11d8c5f6e174faefcf752bccc030,https://github.com/datopian/portal.js.git,15,3,12,2011-10-14T09:44:30,[]
highcharts/highcharts-react,javascript,0,0,,,https://github.com/highcharts/highcharts-react.git,0,0,0,2017-09-26T04:13:41,[]
haroldtreen/epub-press-clients,javascript,0,0,,,https://github.com/haroldtreen/epub-press-clients.git,0,0,0,2015-05-10T08:56:04,"[""article"", ""chrome"", ""ebook"", ""epub"", ""extension"", ""firefox"", ""javascript"", ""kindle"", ""npm""]"
grommet/grommet,javascript,0,0,,,https://github.com/grommet/grommet.git,4,3,1,2015-03-24T08:54:10,"[""a11y"", ""babel"", ""design-system"", ""grommet"", ""hacktoberfest"", ""javascript"", ""react"", ""ux-framework""]"
imaegoo/twikoo,javascript,0,0,,,https://github.com/imaegoo/twikoo.git,0,0,0,2020-05-24T03:13:26,"[""cloudbase"", ""comment"", ""comment-system"", ""hexo"", ""twikoojs"", ""vercel"", ""vue""]"
harvard-lil/perma,javascript,0,0,,,https://github.com/harvard-lil/perma.git,0,0,0,2013-05-06T08:17:55,"[""libraries"", ""web-archiving""]"
humblesoftware/flotr2,javascript,0,0,,,https://github.com/humblesoftware/flotr2.git,0,0,0,2011-08-02T05:40:17,[]
increpare/puzzlescript,javascript,0,0,,,https://github.com/increpare/puzzlescript.git,0,0,0,2013-09-29T08:27:21,"[""game-engine"", ""html5"", ""javascript"", ""puzzlescript"", ""scripting-language""]"
imba/imba,javascript,4,4,ef0baa977acde1053e8b35cce2b02dc2eb95899d,f1fb5c5de26be0376501e50802e25d7dc377ebe5,https://github.com/imba/imba.git,46,6,40,2014-06-14T06:58:32,"[""declarative"", ""dom"", ""framework"", ""frontend"", ""imba"", ""javascript"", ""programming-language"", ""ui""]"
jeremydaly/lambda-api,javascript,0,0,,,https://github.com/jeremydaly/lambda-api.git,1,0,1,2017-10-12T05:54:22,"[""api"", ""api-gateway"", ""aws-lambda"", ""nodejs"", ""serverless"", ""serverless-applications"", ""webframework""]"
hovancik/stretchly,javascript,0,0,,,https://github.com/hovancik/stretchly.git,0,0,0,2016-07-10T07:01:00,"[""breaks"", ""bsd"", ""electron"", ""linux"", ""longer-breaks"", ""macos"", ""reminder"", ""windows""]"
gre/gl-transition-libs,javascript,0,0,,,https://github.com/gre/gl-transition-libs.git,1,1,0,2013-12-22T04:15:19,[]
jimmywarting/native-file-system-adapter,javascript,0,0,,,https://github.com/jimmywarting/native-file-system-adapter.git,7,4,3,2020-03-05T05:08:46,[]
jens-maus/raspberrymatic,javascript,0,0,,,https://github.com/jens-maus/raspberrymatic.git,0,0,0,2016-06-22T01:33:04,"[""buildroot"", ""ccu"", ""ccu3"", ""docker"", ""elv-charly"", ""embedded-devices"", ""esxi"", ""home-automation"", ""homeassistant"", ""homematic"", ""homematicip"", ""iot"", ""kubernetes"", ""linux"", ""operating-system"", ""raspberrymatic"", ""raspberrypi"", ""smarthome"", ""tinkerboard"", ""virtual-appliance""]"
jonobr1/two.js,javascript,0,0,,,https://github.com/jonobr1/two.js.git,3,3,0,2012-09-05T11:19:40,"[""2d"", ""animation"", ""bitmap-graphics"", ""canvas"", ""es6"", ""html5"", ""javascript"", ""renderer"", ""rendering-engine"", ""scenegraph"", ""svg"", ""text-rendering"", ""vector-graphics"", ""webgl""]"
jpush/jpush-phonegap-plugin,javascript,0,0,,,https://github.com/jpush/jpush-phonegap-plugin.git,0,0,0,2013-10-17T06:22:12,"[""android"", ""cordova-plugin"", ""ios"", ""jpush"", ""phonegap-plugin""]"
bigbluebutton/bigbluebutton,javascript,0,0,,,https://github.com/bigbluebutton/bigbluebutton.git,0,0,0,2010-05-25T01:42:41,"[""bigbluebutton"", ""collaboration"", ""conferencing"", ""video"", ""video-conferencing"", ""webrtc""]"
keyboardio/chrysalis,javascript,0,0,,,https://github.com/keyboardio/chrysalis.git,0,0,0,2018-09-11T07:40:40,"[""chrysalis"", ""configurator"", ""gui"", ""kaleidoscope"", ""keyboard""]"
jihong88/suneditor,javascript,0,0,,,https://github.com/jihong88/suneditor.git,0,0,0,2017-04-13T09:07:41,"[""contenteditable"", ""editor"", ""html-editor"", ""no-dependencies"", ""rich-text-editor"", ""suneditor"", ""vanilla-javascript"", ""web-editor""]"
inavflight/inav-configurator,javascript,2,1,7c50084522f94db1ac2689ef1f5efabff3c1d76a,7c50084522f94db1ac2689ef1f5efabff3c1d76a,https://github.com/inavflight/inav-configurator.git,4,2,2,2016-04-25T12:28:59,"[""aircraft"", ""drones"", ""hacktoberfest"", ""inav"", ""inav-configurator"", ""uav""]"
jsdom/jsdom,javascript,0,0,,,https://github.com/jsdom/jsdom.git,16,16,0,2010-01-19T06:55:19,"[""dom-apis"", ""html"", ""javascript"", ""jsdom"", ""nodejs""]"
lacymorrow/crossover,javascript,0,0,,,https://github.com/lacymorrow/crossover.git,0,0,0,2019-10-04T06:37:29,"[""aim"", ""crosshair"", ""crosshair-overlay"", ""crossover"", ""custom-crosshair"", ""electron"", ""fortnite"", ""fps"", ""game-overlay"", ""games"", ""gaming-tools"", ""linux"", ""macos"", ""overlay"", ""screen-overlay"", ""windows""]"
leonardomso/33-js-concepts,javascript,0,0,,,https://github.com/leonardomso/33-js-concepts.git,0,0,0,2018-09-04T01:27:04,"[""angular"", ""concepts"", ""es6"", ""es6-javascript"", ""hacktoberfest"", ""javascript"", ""javascript-closures"", ""javascript-engines"", ""javascript-programming"", ""nodejs"", ""primitive-types"", ""programming"", ""react""]"
lirantal/npq,javascript,6,2,e5fb28cc555ab7f915e948489a7e3432f630191c,c4ae2dbfecbdc69effc48d2663bf82cbc68a92fb,https://github.com/lirantal/npq.git,3,1,2,2017-12-14T09:37:48,"[""appsec"", ""best-practices"", ""command-line-tool"", ""nodejs"", ""npm"", ""package-manager"", ""security"", ""security-audit"", ""security-tools"", ""supply-chain-security"", ""vulnerabilities"", ""vulnerability-scanners""]"
liriliri/licia,javascript,0,0,,,https://github.com/liriliri/licia.git,0,0,0,2016-03-23T11:25:29,"[""eustia"", ""utility""]"
jesse-ai/jesse,javascript,1,1,60157d01450ef4f8d524487a3f8d3f8b933af6df,60157d01450ef4f8d524487a3f8d3f8b933af6df,https://github.com/jesse-ai/jesse.git,14,2,12,2018-11-09T10:38:44,"[""algo-trading"", ""algorithmic-trading"", ""bitcoin"", ""bot"", ""crypto"", ""crypto-bot"", ""crypto-bot-trading"", ""cryptocurrency"", ""framework"", ""jesse"", ""python"", ""quantitative-finance"", ""quantitative-trading"", ""trade"", ""trading"", ""trading-algorithms"", ""trading-bot"", ""trading-strategies""]"
marcocesarato/react-native-big-list,javascript,0,0,,,https://github.com/marcocesarato/react-native-big-list.git,0,0,0,2021-06-05T08:03:07,"[""android"", ""big"", ""data"", ""expo"", ""fast"", ""flatlist"", ""ios"", ""javascript"", ""js"", ""large"", ""list"", ""massive"", ""memory"", ""performance"", ""react"", ""react-native"", ""react-native-big-list"", ""sticky-headers"", ""web""]"
mattiasw/exifreader,javascript,0,0,,,https://github.com/mattiasw/exifreader.git,0,0,0,2012-01-01T11:05:20,[]
llk/scratch-blocks,javascript,0,0,,,https://github.com/llk/scratch-blocks.git,1,1,0,2016-01-07T03:49:10,[]
handsontable/handsontable,javascript,9,4,241ad3e8b4c83a4e8916ec65b05e6aeccd09ccfb,2fc24908e3c525eeb426b3d987f8067e316139ef,https://github.com/handsontable/handsontable.git,68,28,40,2011-05-23T10:38:58,"[""angular-datagrid"", ""angular-table"", ""component"", ""crud-operations"", ""data-editing"", ""data-grid"", ""data-management"", ""data-tables"", ""datagrid"", ""datatable"", ""excel"", ""excel-javascript"", ""grid"", ""grid-component"", ""react-datatable"", ""react-grid"", ""spreadsheet"", ""table"", ""vue-table""]"
marko-js/marko,javascript,0,0,,,https://github.com/marko-js/marko.git,7,6,1,2014-01-07T11:58:21,"[""client-side-rendering"", ""dom"", ""frontend"", ""isomorphic"", ""javascript"", ""nodejs"", ""server-side-rendering"", ""ui-components"", ""vdom""]"
medic/cht-core,javascript,0,0,,,https://github.com/medic/cht-core.git,4,3,1,2011-11-02T11:19:55,"[""cht"", ""couchdb"", ""ehealth"", ""health"", ""javascript"", ""medical"", ""mhealth"", ""mobile"", ""phone"", ""pouchdb"", ""typescript""]"
mochajs/mocha,javascript,10,2,0ed524af347b59200e03b972c2450d36f6818a45,867e17566beb8f7077e969e9c58e9383bcf6d657,https://github.com/mochajs/mocha.git,11,5,6,2011-03-07T06:44:25,"[""bdd"", ""browser"", ""javascript"", ""mocha"", ""mochajs"", ""node"", ""nodejs"", ""tdd"", ""test"", ""test-framework"", ""testing"", ""testing-tools""]"
