repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,num_comment_lines,comment_density,has_teardown_pair,fixture_type_kind,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,kolibri/core/assets/test/api-resource.spec.js,<anonymous>_395,before_each,396,401,6,,2,per_test,1,1,0,0,0,0,0.0,1,setup,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/kolibri/core/assets/test/api-resource.spec.js#L396-L401,human_pre2022,human,,"beforeEach(function() {
            response = {};
            client = jest.fn().mockResolvedValue(response);
            resource.client = client;
            logstub = jest.spyOn(Resources.logging, 'error').mockImplementation(() => {});
          })",2020-12-27,4.939082819986311
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,kolibri/core/assets/test/api-resource.spec.js,<anonymous>_512,before_each,513,517,5,,1,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/kolibri/core/assets/test/api-resource.spec.js#L513-L517,human_pre2022,human,,"beforeEach(function() {
            response = { data: [{ testing: 'testing' }] };
            client = jest.fn().mockResolvedValue(response);
            resource.client = client;
          })",2020-12-27,4.939082819986311
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,kolibri/core/assets/test/api-resource.spec.js,<anonymous>_750,before_each,751,754,4,,0,per_test,1,1,0,1,0,0,0.0,0,setup,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/kolibri/core/assets/test/api-resource.spec.js#L751-L754,human_pre2022,human,,"beforeEach(function() {
      model = { id: 'test' };
      setModel = new Resources.Model(model, {}, resource);
    })",2020-12-27,4.939082819986311
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,kolibri/core/assets/test/utils/navComponents.spec.js,<anonymous>_6,after_each,7,10,4,,0,per_test,1,1,0,0,0,1,0.25,0,teardown,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/kolibri/core/assets/test/utils/navComponents.spec.js#L7-L10,human_pre2022,human,,"afterEach(() => {
    // Clean up the registered components
    navComponents.pop();
  })",2020-12-27,4.939082819986311
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,kolibri/plugins/device/assets/test/actions/showSelectContentPage.spec.js,<anonymous>_50,after_each,51,58,8,,0,per_test,1,1,0,0,0,0,0.0,0,teardown,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/kolibri/plugins/device/assets/test/actions/showSelectContentPage.spec.js#L51-L58,human_pre2022,human,,"afterEach(() => {
    ChannelResource.__resetMocks();
    ContentNodeGranularResource.__resetMocks();
    TaskResource.__resetMocks();
    TaskResource.startRemoteChannelImport.mockReset();
    TaskResource.startDiskChannelImport.mockReset();
    TaskResource.cancelTask.mockReset();
  })",2020-12-27,4.939082819986311
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,kolibri/plugins/device/assets/test/actions/showSelectContentPage.spec.js,<anonymous>_113,before_each,114,116,3,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/kolibri/plugins/device/assets/test/actions/showSelectContentPage.spec.js#L114-L116,human_pre2022,human,,"beforeEach(() => {
      setUpStateForTransferType('remoteimport');
    })",2020-12-27,4.939082819986311
learningequality/kolibri,javascript,d32980e8e1f11bd10b0dc2e73b2d3f230bba8004,packages/hashi/test/iframeClient.spec.js,<anonymous>_5,before_each,6,9,4,,0,per_test,1,1,0,1,0,0,0.0,0,setup,https://github.com/learningequality/kolibri/blob/d32980e8e1f11bd10b0dc2e73b2d3f230bba8004/packages/hashi/test/iframeClient.spec.js#L6-L9,human_pre2022,human,,"beforeEach(() => {
    window.name = nameSpace;
    hashi = new Hashi();
  })",2020-12-27,4.939082819986311
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/api_spec.js,<anonymous>_304,mocha_before,305,315,11,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/api_spec.js#L305-L315,human_pre2022,human,,"before(function () {
                        var response = chakram.post(
                            '/domains/' + domain + '/rrsets/',
                            {'subname': '', 'type': 'A', 'records': ['127.0.0.1'], 'ttl': 60}
                        );
                        expect(response).to.have.status(201);
                        expect(response).to.have.schema(schemas.rrset);
                        expect(response).to.have.json('ttl', 60);
                        expect(response).to.have.json('records', ['127.0.0.1']);
                        return chakram.wait();
                    })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/api_spec.js,<anonymous>_360,mocha_before,361,366,6,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/api_spec.js#L361-L366,human_pre2022,human,,"before(function () {
                        return chakram.post(
                            '/domains/' + domain + '/rrsets/',
                            {'subname': '*.foobar', 'type': 'AAAA', 'records': ['::1', 'bade::affe'], 'ttl': 60}
                        );
                    })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/api_spec.js,<anonymous>_720,mocha_before,721,749,27,,0,per_test,1,1,0,0,0,1,0.037037037037037035,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/api_spec.js#L721-L749,human_pre2022,human,,"before(function () {
                        // Set an RRset that we'll try to overwrite
                        var response = chakram.post(
                            '/domains/' + domain + '/rrsets/',
                            {'ttl': 3650, 'type': 'TXT', 'records': ['""foo""']}
                        );
                        expect(response).to.have.status(201);

                        var response = chakram.put(
                            '/domains/' + domain + '/rrsets/',
                            [
                                {'subname': 'a.1', 'records': ['dead::beef'], 'ttl': 3622},
                                {'subname': 'b.1', 'ttl': -50, 'type': 'AAAA', 'records': ['dead::beef']},
                                {'ttl': 3640, 'type': 'TXT', 'records': ['""bar""']},
                                {'subname': 'c.1', 'records': ['dead::beef'], 'type': 'AAAA'},
                                {'subname': 'd.1', 'ttl': 3650, 'type': 'AAAA'},
                            ]
                        );
                        expect(response).to.have.status(400);
                        expect(response).to.have.json([
                            { type: [ 'This field is required.' ] },
                            { ttl: [ 'Ensure this value is greater than or equal to 60.' ] },
                            { subname: [ 'This field is required.' ] },
                            { ttl: [ 'This field is required.' ] },
                            { records: [ 'This field is required.' ] },
                        ]);

                        return chakram.wait();
                    })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/api_spec.js,<anonymous>_902,mocha_before,903,916,14,,1,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/api_spec.js#L903-L916,human_pre2022,human,,"before(function () {
                        var response = chakram.post(
                            '/domains/' + domain + '/rrsets/',
                            { 'subname': 'single', 'type': 'AAAA', 'records': ['bade::fefe'], 'ttl': 3662 }
                        ).then(function () {
                            return chakram.patch(
                                '/domains/' + domain + '/rrsets/single.../AAAA/',
                                { 'records': ['fefe::bade'], 'ttl': 3631 }
                            );
                        });
                        expect(response).to.have.status(200);
                        expect(response).to.have.schema(schemas.rrset);
                        return chakram.wait();
                    })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/dyndns_spec.js,<anonymous>_59,mocha_before,60,71,12,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/dyndns_spec.js#L60-L71,human_pre2022,human,,"before(function () {
                    apiAccessConfig = {
                        headers: {
                            Host: 'desec.' + process.env.DESECSTACK_DOMAIN,
                            Authorization: 'Token ' + token,
                        }
                    };
                    chakram.setRequestHeader('Host', 'update.dedyn.' + process.env.DESECSTACK_DOMAIN);
                    chakram.setRequestHeader('Authorization', 'Basic ' + require('btoa')(domain + ':' + token));
                    chakram.setRequestHeader('Accept', '*/*');
                    chakram.setBaseUrl('https://www');
                })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/dyndns_spec.js,<anonymous>_74,mocha_before,75,80,6,,0,per_test,1,1,0,0,0,1,0.16666666666666666,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/dyndns_spec.js#L75-L80,human_pre2022,human,,"before(function () {
                        var response = chakram.get('/'); // TODO also try other URLs
                        expect(response).to.have.body('good');
                        expect(response).to.have.status(200);
                        return chakram.wait();
                    })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/www_spec.js,<anonymous>_146,mocha_before,147,149,3,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/www_spec.js#L147-L149,human_pre2022,human,,"before(function () {
            chakram.setRequestHeader('Host', 'desec.' + process.env.DESECSTACK_DOMAIN);
        })",2020-12-30,4.257357973990418
bytedance/fedlearner,javascript,e2f004d9e2a68fd681d47287145ffccbaefa2337,web_console/tests/api/job.test.js,<anonymous>_15,mocha_before,16,38,23,,0,per_test,1,2,0,1,1,0,0.0,0,setup,https://github.com/bytedance/fedlearner/blob/e2f004d9e2a68fd681d47287145ffccbaefa2337/web_console/tests/api/job.test.js#L16-L38,human_pre2022,human,,"before(async () => {
    await models.sequelize.sync();
    const [record] = await User.findOrCreate({
      paranoid: false,
      where: {
        username: { [Op.eq]: users.user.username },
      },
      defaults: users.user,
    });
    if (record.deleted_at) {
      record.restore();
    }
    return new Promise((resolve, reject) => {
      request.post('/api/v1/login')
        .send({ username: users.user.username, password: users.user.username })
        .expect(200)
        .end((err, res) => {
          if (err) reject(err);
          userCookie = res.header['set-cookie'].map((x) => x.split(';')[0]).join('; ');
          resolve();
        });
    });
  })",2020-12-29,0.9390828199863107
pymedusa/medusa,javascript,90e831b632d05aedfec125e091e445736a912198,themes-default/slim/test/specs/add-shows.spec.js,<anonymous>_9,before_each,10,23,12,,0,per_test,1,1,0,1,0,0,0.0,0,setup,https://github.com/pymedusa/medusa/blob/90e831b632d05aedfec125e091e445736a912198/themes-default/slim/test/specs/add-shows.spec.js#L10-L23,human_pre2022,human,,"beforeEach(() => {
        const localVue = createLocalVue();
        localVue.use(Vuex);
        localVue.use(VueRouter);
        localVue.component('app-link', AppLink);

        const { state } = fixtures;
        const store = new Store({ state });

        wrapper = shallowMount(AddShows, {
            localVue,
            store
        });
    })",2020-12-31,4.854209445585216
pymedusa/medusa,javascript,90e831b632d05aedfec125e091e445736a912198,themes-default/slim/test/specs/config-toggle-slider.spec.js,<anonymous>_6,before_each,7,9,3,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/pymedusa/medusa/blob/90e831b632d05aedfec125e091e445736a912198/themes-default/slim/test/specs/config-toggle-slider.spec.js#L7-L9,human_pre2022,human,,"beforeEach(() => {
        localVue = createLocalVue();
    })",2020-12-31,4.854209445585216
pymedusa/medusa,javascript,90e831b632d05aedfec125e091e445736a912198,themes-default/slim/test/specs/config.spec.js,<anonymous>_10,before_each,11,18,7,,0,per_test,1,1,0,1,0,0,0.0,0,setup,https://github.com/pymedusa/medusa/blob/90e831b632d05aedfec125e091e445736a912198/themes-default/slim/test/specs/config.spec.js#L11-L18,human_pre2022,human,,"beforeEach(() => {
        localVue = createLocalVue();
        localVue.use(Vuex);
        localVue.use(VueRouter);

        const { state } = fixtures;
        store = new Store({ state });
    })",2020-12-31,4.854209445585216
pymedusa/medusa,javascript,90e831b632d05aedfec125e091e445736a912198,themes-default/slim/test/specs/name-pattern.spec.js,<anonymous>_6,before_each,7,9,3,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/pymedusa/medusa/blob/90e831b632d05aedfec125e091e445736a912198/themes-default/slim/test/specs/name-pattern.spec.js#L7-L9,human_pre2022,human,,"beforeEach(() => {
        localVue = createLocalVue();
    })",2020-12-31,4.854209445585216
pymedusa/medusa,javascript,90e831b632d05aedfec125e091e445736a912198,themes-default/slim/test/specs/quality-chooser.spec.js,<anonymous>_11,before_each,12,29,17,,0,per_test,1,1,0,1,0,0,0.0,0,setup,https://github.com/pymedusa/medusa/blob/90e831b632d05aedfec125e091e445736a912198/themes-default/slim/test/specs/quality-chooser.spec.js#L12-L29,human_pre2022,human,,"beforeEach(() => {
        localVue = createLocalVue();
        localVue.use(Vuex);
        localVue.use(VueRouter);

        const { state } = fixtures;
        store = new Store({
            modules: {
                consts: {
                    getters: consts.getters,
                    state: state.config.consts
                },
                config: {
                    state: state.config
                }
            }
        });
    })",2020-12-31,4.854209445585216
doccano/doccano,javascript,7319dd4d0eaa7aa8d80d2162e919483e2b9facf1,frontend/test/unit/components/containers/ProjectDeletionButton.spec.js,<anonymous>_15,before_each,16,33,17,,1,per_test,1,1,0,1,0,0,0.0,0,setup,https://github.com/doccano/doccano/blob/7319dd4d0eaa7aa8d80d2162e919483e2b9facf1/frontend/test/unit/components/containers/ProjectDeletionButton.spec.js#L16-L33,human_pre2022,human,,"beforeEach(() => {
    actions = {
      deleteProject: jest.fn()
    }
    mutations = {}
    projects = {
      namespaced: true,
      actions,
      mutations,
      state: {}
    }

    store = new Vuex.Store({
      modules: {
        projects
      }
    })
  })",2020-12-25,2.631074606433949
cloud-cv/evalai,javascript,b4ba65784d8f6d202db6084d2917ce5f0ca2bd42,frontend/tests/controllers-test/SubmissionFilesCtrl.test.js,<anonymous>_41,before_each,42,58,16,,0,per_test,2,2,1,0,0,0,0.0,0,setup,https://github.com/cloud-cv/evalai/blob/b4ba65784d8f6d202db6084d2917ce5f0ca2bd42/frontend/tests/controllers-test/SubmissionFilesCtrl.test.js#L42-L58,human_pre2022,human,,"beforeEach(function () {
            spyOn($rootScope, 'notify');
            spyOn($state, 'go');

            utilities.sendRequest = function (parameters) {
                if (success) {
                    parameters.callback.onSuccess({
                        data: successResponse,
                        status: status
                    });
                } else {
                    parameters.callback.onError({
                        data: errorResponse
                    });
                }
            };
        })",2020-12-30,4.191649555099247
cloud-cv/evalai,javascript,b4ba65784d8f6d202db6084d2917ce5f0ca2bd42,frontend/tests/controllers-test/authCtrl.test.js,<anonymous>_156,before_each,157,188,30,,0,per_test,1,2,1,0,0,0,0.0,0,setup,https://github.com/cloud-cv/evalai/blob/b4ba65784d8f6d202db6084d2917ce5f0ca2bd42/frontend/tests/controllers-test/authCtrl.test.js#L157-L188,human_pre2022,human,,"beforeEach(function () {
            nonFieldErrors = false;

            vm.getUser = {
                username: 'ford',
                password: 'dontpanic',
            };

            utilities.sendRequest = function (parameters) {
                var data, status, userKey;
                var error = 'error';
                var success = ""success"";
                var usernameRegex = /^[a-zA-Z0-9]+$/;
                var passwordRegex = /^[a-zA-Z0-9!@#$%^&*_]{8,30}$/;
                var isUsernameValid = usernameRegex.test(parameters.username);
                var isPasswordValid = passwordRegex.test(parameters.password);
                if (!isUsernameValid || !isPasswordValid) {
                    data = error;
                    status = 400;
                    userKey = ""notFound"";
                } else {
                    data = success;
                    status = 200;
                    userKey = ""encrypted"";
                }
                return {
                    ""data"": data,
                    ""status"": parseInt(status),
                    ""userKey"": userKey
                };
            };
        })",2020-12-30,4.191649555099247
cloud-cv/evalai,javascript,b4ba65784d8f6d202db6084d2917ce5f0ca2bd42,frontend/tests/controllers-test/challengeCreate.test.js,<anonymous>_7,before_each,8,17,9,,0,per_test,1,1,5,0,0,0,0.0,0,setup,https://github.com/cloud-cv/evalai/blob/b4ba65784d8f6d202db6084d2917ce5f0ca2bd42/frontend/tests/controllers-test/challengeCreate.test.js#L8-L17,human_pre2022,human,,"beforeEach(inject(function(_$controller_, _$rootScope_, _$state_, _utilities_, _loaderService_) {
        $controller = _$controller_;
        $rootScope = _$rootScope_;
        $state = _$state_;
        utilities = _utilities_;
        loaderService = _loaderService_;
        
        $scope = $rootScope.$new();
        vm = $controller('ChallengeCreateCtrl', { $scope: $scope });
    }))",2020-12-30,4.191649555099247
cloud-cv/evalai,javascript,b4ba65784d8f6d202db6084d2917ce5f0ca2bd42,frontend/tests/controllers-test/challengeCtrl.test.js,<anonymous>_1933,before_each,1934,1950,16,,0,per_test,2,2,1,0,0,0,0.0,0,setup,https://github.com/cloud-cv/evalai/blob/b4ba65784d8f6d202db6084d2917ce5f0ca2bd42/frontend/tests/controllers-test/challengeCtrl.test.js#L1934-L1950,human_pre2022,human,,"beforeEach(function () {
            spyOn(utilities, 'getData');
            spyOn($mdDialog, 'hide');
            spyOn($rootScope, 'notify');

            utilities.sendRequest = function (parameters) {
                if (success) {
                    parameters.callback.onSuccess({
                        status: 200
                    });
                } else {
                    parameters.callback.onError({
                        data: errorResponse
                    });
                }
            };
        })",2020-12-30,4.191649555099247
cloud-cv/evalai,javascript,b4ba65784d8f6d202db6084d2917ce5f0ca2bd42,frontend/tests/controllers-test/challengeCtrl.test.js,<anonymous>_2004,before_each,2005,2021,16,,0,per_test,2,2,1,0,0,0,0.0,0,setup,https://github.com/cloud-cv/evalai/blob/b4ba65784d8f6d202db6084d2917ce5f0ca2bd42/frontend/tests/controllers-test/challengeCtrl.test.js#L2005-L2021,human_pre2022,human,,"beforeEach(function () {
            spyOn(utilities, 'getData');
            spyOn($mdDialog, 'hide');
            spyOn($rootScope, 'notify');

            utilities.sendRequest = function (parameters) {
                if (success) {
                    parameters.callback.onSuccess({
                        status: 200
                    });
                } else {
                    parameters.callback.onError({
                        data: errorResponse
                    });
                }
            };
        })",2020-12-30,4.191649555099247
