repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url
morphiaorg/morphia,java,5,1,0ce4cb9b02541a6c4ba12f9f2ee05a9e568f743b,0ce4cb9b02541a6c4ba12f9f2ee05a9e568f743b,https://github.com/morphiaorg/morphia.git
netflix/hollow,java,3,3,10d2835046bb0163c79556da97a4b14f6776edac,7bb1ee8801b09e81983358ab72e373a772ef9e3b,https://github.com/netflix/hollow.git
nitrite/nitrite-java,java,2,1,8b6b31b3b2b8a3d484b3e7c64e30b643e3a73a90,8b6b31b3b2b8a3d484b3e7c64e30b643e3a73a90,https://github.com/nitrite/nitrite-java.git
opendatadiscovery/odd-platform,java,1,1,525200f99524bdfa7aa349972e3cd164cdfdaa85,525200f99524bdfa7aa349972e3cd164cdfdaa85,https://github.com/opendatadiscovery/odd-platform.git
opendataloader-project/opendataloader-pdf,java,26,18,4dd3c1cc34293f901959a4b3d74712f6797b54d8,badf8b7194dd5fa626a08ed1c25365ec580fe389,https://github.com/opendataloader-project/opendataloader-pdf.git
opennms/opennms,java,1,1,9ac319ae65b529af1014d11f6178256c2b764ec6,9ac319ae65b529af1014d11f6178256c2b764ec6,https://github.com/opennms/opennms.git
oraxen/oraxen,java,1,1,f86095b922a33070d001e08a2e7d7a3f12357b98,f86095b922a33070d001e08a2e7d7a3f12357b98,https://github.com/oraxen/oraxen.git
osbi/saiku,java,26,18,4140876f26832d42b81c5fa50dd492f768f03c5a,084cf4b26150d451838ee187e8d201f4925d918a,https://github.com/osbi/saiku.git
owasp/wrongsecrets,java,3,3,11b2faab92ce8fed0bf1d51b772b669aeb35e0a0,d93dfdef7a92640b0bcfb7b6e5a0afcd42a434ae,https://github.com/owasp/wrongsecrets.git
quarkusio/quarkus,java,2,1,b33131e2e9de22ac137c823fdd3314f25583dd42,b33131e2e9de22ac137c823fdd3314f25583dd42,https://github.com/quarkusio/quarkus.git
sakaiproject/sakai,java,11,1,16618b75a8120209715c0a5efe0a4277c407b166,16618b75a8120209715c0a5efe0a4277c407b166,https://github.com/sakaiproject/sakai.git
sirixdb/sirix,java,4,2,5f65cf7dcca34a7329a2cf2fefc04521f1d8e226,a0fd79a99109be262551c46fc60b07508b48e523,https://github.com/sirixdb/sirix.git
sonarsource/sonar-java,java,1,1,1d35938c612dfc89c87cea2d7ef9c27143f6de84,1d35938c612dfc89c87cea2d7ef9c27143f6de84,https://github.com/sonarsource/sonar-java.git
spinnaker/spinnaker,java,15,1,aa01d1d89552b65f885b527e8aa61753ddfd0081,aa01d1d89552b65f885b527e8aa61753ddfd0081,https://github.com/spinnaker/spinnaker.git
tomakehurst/wiremock,java,3,2,90457450f92dff5a8455d754f6af0a2617e247b7,ffee1e59f437bb92bf6c4ed0f3e1b7df1293ebcb,https://github.com/tomakehurst/wiremock.git
trinodb/trino,java,2,1,a2ca08fecf22006dc43b5fc042c6318ed2e2e43e,a2ca08fecf22006dc43b5fc042c6318ed2e2e43e,https://github.com/trinodb/trino.git
tronprotocol/wallet-cli,java,4,1,c9233c1e7d65d0ae03e2fca205a79706405b3dad,c9233c1e7d65d0ae03e2fca205a79706405b3dad,https://github.com/tronprotocol/wallet-cli.git
vaadin/flow,java,5,3,b2c4b9a91e353d3acfe08a45e22f61c4f6bab725,3a51a38ebccd02e4d08a94894a89711789f3a2ff,https://github.com/vaadin/flow.git
valkey-io/valkey-glide,java,5,2,1f703590758604d2ac9dff80f9e9c3720d651aab,dfa1c96a43c202d2b366f1af822a6e5952d50d58,https://github.com/valkey-io/valkey-glide.git
wechat-group/wxjava,java,14,11,0854e4d971de8e63dd8f6ae745293e8b7478ea6f,fab98621c0901e31deee89d878f32ba3775ca2d5,https://github.com/wechat-group/wxjava.git
yahoo/athenz,java,2,1,245d63cff8cc5c03eb19cd39d8413e9d4c2ebd7c,245d63cff8cc5c03eb19cd39d8413e9d4c2ebd7c,https://github.com/yahoo/athenz.git
zeebe-io/zeebe,java,91,61,2d910738ec3669b953ba79bad54cec063a9d0b12,3eb89f2e455557c2b46a040d75a804cd2abefd17,https://github.com/zeebe-io/zeebe.git
